"id_dataset","full_text","text_bersih","hasil_sentistrength","label_sentistrength","class"
"1","""Coba aku tanya dimana letak perbedaannya? #prakerja #kartuprakerja #pesertaprakerja https://t.co/UypmjpCish""",,,,
"2","""@H4T14K4LN4L42 @jokowi @prabowo Ada Bansos....Ada KIP....Ada Kartu Prakerja....Ada Pembangunan dimana mana...Ada banyak program kesehatan dari para nikah...hamil...balita hingga manula...Ada banyak kebaikan laennya....nte apa gak ngerasain satu dari kebaikan Pemerintah....Hidup di negara mana nte""",,,,
"3","""Kartu Prakerja Gelombang 68 Kapan Dibuka? Simak Syarat Lolos Cara Daftar dan Besaran Insentif https://t.co/OUwSj64bbZ""",,,,
"4","""Hore! Kartu Prakerja Gelombang 68 Telah Dibuka Ini JadwalÂ danÂ Syaratnya https://t.co/tyfyUkuKST""",,,,
"5","""@april_hamsa Bisa cek IG kartu prakerja mbak buat pengumuman bukaan. Kayaknya kok gak sampai 1 bulan ya jaraknya.""",,,,
"6","""@april_hamsa Web kartu prakerja mbak. Tapi nunggu ada bukaan gelombang baru lagi. Ada tes psikotesnya gitu tapi gak susah soalnya.""",,,,
"7","""Yang masih ngeblog dan mau belajar SEO. Daftarlah kartu prakerja ambil pelatihan SEO Blogger dari Kariermu. Manteb banget ilmunya (menurut guee). Manfaatkan kesempatan untuk dapet ilmu gratis.""",,,,
"8","""Knp di kartu prakerja gak diajarin jd kang parkir aja? Lumayan mengurangi utk angka pengangguran""",,,,
"9","""Uang Rp700 Ribu Auto Masuk Saldo Dana Simak Syarat Klaim Insentif Kartu Prakerja https://t.co/0cdrEETdzx""",,,,
"10","""@vavoschweetz @worksfess mjb kak buat yg umurnya 18 tahun boleh ikut kartu prakerja ga?""",,,,
"11","""@hanjijisung_ @worksfess Oalah barusadar....kartu prakerja..itu free sih""",,,,
"12","""@diana53057081 Nganggur tapi woles punya kartu prakerja """,,,,
"13","""@Maulanajulham_ @txtdrbekasi Iiihhh ngerasain lagi bikin kartu prakerja. Bela-belain dari tarjay ke Cikarang pusat """,,,,
"14","""SELAMAT! Anda Berhasil Klaim Saldo DANA Gratis Rp700.000 dari Kartu Prakerja Rabu 8 Mei 2024 Masuk Dompet Elektronik Cek Sekarang https://t.co/yZIO39iTXM""",,,,
"15","""Daftar Tes yang Wajib Diikut Peserta Kartu Prakerja 2024 Ada Unjuk Keterampilan di Akhir Pelatihan https://t.co/VBqmv58zvc via @tribun_kalteng""",,,,
"16","""Meningkatkan kualitas pelatihan memperluas dan mempermudah akses ke kartu prakerja kalau perlu melibatkan Pemda juga""",,,,
"17","""@Naurafayruzya Gak pingin sekalian ngulik kartu prakerja jatahnya dinikmati siapa aja Nyai ? https://t.co/B6UHeDhEKE""",,,,
"18","""Kapan Kartu Prakerja Gelombang 68 Dibuka? Ini Panduan Pendaftaran Persyaratan dan Besara Insentif! https://t.co/n16mwv9OU7""",,,,
"19","""Kemana muka-muka StaffSus yg buang buang duit APBN 5 6 Truliun utk Program kartu prakerja yg hasilnya Zonk itu ? https://t.co/xWerrWo2BG""",,,,
"20","""Bukan lapangan pekerjaan @jokowi tahu kekurangan lapangan pekerjaan di indonesia. Dan sampai di bawa debat 2019 buat kartu prakerja. Tapi aneh nya dibuat kartu prakerja trus di buat uu ite yang memakan korban hingga ratusan orang. Wiwiwi kesopanan seperti apa lagi yang kurang?""",,,,
"21","""Kapan Kartu Prakerja Gelombang 68 Dibuka? Ini Cara Daftar Syarat Lolos dan Besaran Insentifnya Baca berita selengkapnya di https://t.co/VlwdxhzWSH""",,,,
"22","""habis buka buka website Prakerja. Ternyata ada banyak mitra baik online atau offline yang berpartisipasi dalam program Kartu Prakerja dan membuat pelatihan lebih banyak opsi loh.""",,,,
"23","""Manifesting bisa keterima kerja atau dapet kartu prakerja bulan besok skill nambah banyak sertifikat pelatihan dan bisa bahagiain keluarga aamiin.""",,,,
"24","""Calling For Interviewe HALO temanÂ² saya mahasiswa semester 8 Ilmu Politik UNNES sedang mencari orang berumur 18-64 tahun pernah atau sedang menerima manfaat/memakai kartu prakerja domisili di Semarang atau memiliki kenalan yang memenuhi kriteria kami dan bersedia (cont..)""",,,,
"25","""@MartinusButarb1 kartu prakerja jd ladang cuan buat teman sy untuk bantu orang2 mengajukan kartu prakerja jd kerjaan temen sy ngisiin pertanyaan2 yg ada di formnya.. trs nunggu diapprove.. stlh cair jadi kebagian cuan. dan hasilnya temen sy dan semua yg dibantu TETAP NGANGGUR """,,,,
"26","""@cuitsek @worksfess Yg bisa ambil sampe 3 kelas itu syaratnya kelas sebelumnya harus sudah selesai progress kelas d dashboard prakerja 100Ùª dan keluar sertifikatnya kak. Klo casenya kakak status kartu pekerja sudah hangus karena kelas pertama tidak terselesaikan.""",,,,
"27","""@akutemantulus @worksfess maaf kak oot kartu prakerja ini khusus buat pelatihan skil gitu ya atau terserah orang yang dapet mau di apain selain pelatihan skil""",,,,
"28","""@worksfess gue kok gagal terus ya daftarin kartu prakerja ini :(""",,,,
"29","""KARTU PRAKERJA 2024: GELOMBANG 67 SEGERA DITUTUP BAGAIMANA PELUANG DI TAHUN DEPAN? https://t.co/736aHwvQ8U""",,,,
"30","""Mau review pelatihan yg aku ambil di program kartu Prakerja Yang baru lulus Prakerja gel 67 mungkin ini bisa jadi insight a threads""",,,,
"31","""&lt	strong&gt	5 KEUNTUNGAN IKUT KARTU PRAKERJA: BUKA PELUANG EMAS PENGEMBANGAN DIRI DAN RAIH KARIR IMPIAN&lt	/strong&gt	 https://t.co/yDAqy1ktAQ""",,,,
"32","""SYARAT MEMBELI PELATIHAN DI PLATFORM DIGITAL DENGAN KARTU PRAKERJA https://t.co/Ws19TPWuJJ""",,,,
"33","""Cara Cek Pengumuman Lolos Kartu Prakerja Gelombang 67 Ini Linknya #News #NewsUpdate #BisnisIT #Olahraga #Lifestyle #SudutPandang #Daerah #Parlemen https://t.co/yAXeqYFqfS""",,,,
"34","""Lolos Seleksi Gelombang 67? Simak Cara Beli Pelatihan Kartu Prakerja hanya Tinggal Klik dan Bayar #News #NewsUpdate #BisnisIT #Olahraga #Lifestyle #SudutPandang #Daerah #Parlemen https://t.co/CBGAwpjDVD""",,,,
"35","""CEK Pengumuman Lolos Gelombang 67 Kartu Prakerja 2024 Hari Ini: Tanggal Pengumuman dan Syarat Cair Saldo DANA Rp700.000! https://t.co/vZs4xRYMlw""",,,,
"36","""@tanyarlfes Bisa nder aku dlu daftar prakerja daftar online dluu baru ambil kartu atm nya di bank. Nnti kmu buat aja jdi pengusaha bgtu trs kasih nama usaha mu dll baru nnti vc sama cs nya. Good luck smoga lulus""",,,,
"37","""tanyarl haloo!! ada yang pernah daftar dan lolos kartu prakerja ga ya? mau tanya dong boleh ambil pelatihan secara online semua atau harus ambil pelatihan offline nya juga? Terima kasih""",,,,
"38","""Insentif Kartu Prakerja 2024 Cair Berapa Kali? Ini Jadwal Pencairan dan Besaran Dana Masuk Rekening Peserta ! https://t.co/f11iqroDb7""",,,,
"39","""Insentif Kartu Prakerja 2024 Cair Berapa Kali? Ini Jadwal Pencairan dan Besaran Dana Masuk Rekening Peserta https://t.co/f11iqroDb7""",,,,
"40","""Manfaat Kartu Prakerja 2024: Dapatkan Uang Tunai dan Pelatihan Gelombang 68! https://t.co/IUoE2PPGMF""",,,,
"41","""Berapa Batas Usia Peserta Kartu Prakerja 2024 Insentif dan Cara Daftarnya di Mana? https://t.co/s4IoQXdHK3""",,,,
"42","""Lolos atau Tidak Kartu Prakerja Gelombang 67 Tahun 2024? Begini Cara Cek via Link Resmi! https://t.co/8mNWwkEATK""",,,,
"43","""@Naz_lira mungkin pekerja'a gk punya kartu prakerja. coba buat dulu kartu prakerja &amp	 lamar menteri stafmen. skrg lg butuh bnyk pekerja tuh. sp tau nasib mujur https://t.co/IAVawzg7wp""",,,,
"44","""Lima Cara Memilih Lembaga Pelatihan Kartu Prakerja yang Tepat dan Rekomendasinya https://t.co/OPpyoGNMP9 #TempoIndonesiana""",,,,
"45","""Mau tanya2 soal joki kartu prakerja dong? #zonauang #zonajajan""",,,,
"46","""@heachana Udah men.. gua kursus segala macem ikut kartuprakerja juga belom coba yang kursus pemerentah sih""",,,,
"47","""@5teV3n_Pe9eL yg pegang kartu prakerja dh pd kerja?""",,,,
"48","""kartu prakerja ribet amat ya sekarang gue daftar gaperna dpt giliran daftarin orang dpt mulu. udah ribet insentifnya jadi 600k doang wkwkw. dulu 2 4 bjir """,,,,
